Supermercado,Semana,Fecha,marca,descripcion,promo,precio,imagen,Link
Tottus,40,07-10-2023,FINISH,Abrillantador,$ 5.150,,https://s7d2.scene7.com/is/image/Tottus/20363120_1?wid=240&hei=240&qlt=70,https://tottus.falabella.com/tottus-cl/product/110611243/abrillantador---finish-400-ml/110611245?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110611243/abrillantador---finish-400-ml/110611245?exp=tottus
Tottus,40,07-10-2023,VIRGINIA,Lavalozas Botella Citrus,$ 3.300,,https://s7d2.scene7.com/is/image/Tottus/20396161_1?wid=240&hei=240&qlt=70,https://tottus.falabella.com/tottus-cl/product/110611225/lavalozas-citrus--virginia-1500-ml/110611226?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110611225/lavalozas-citrus--virginia-1500-ml/110611226?exp=tottus
Tottus,40,07-10-2023,VIRGINIA,Lavalozas Recarga Citrus,$ 2.290,,https://s7d2.scene7.com/is/image/Tottus/20108665_1?wid=240&hei=240&qlt=70,https://tottus.falabella.com/tottus-cl/product/110612951/lavaloza-limon-citrus-dp-1lt-virginia/110612952?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110612951/lavaloza-limon-citrus-dp-1lt-virginia/110612952?exp=tottus
Tottus,40,07-10-2023,QUIX,Lavaloza Concentrado Botella Limón,$ 2.090,,https://s7d2.scene7.com/is/image/Tottus/03022219_1?wid=240&hei=240&qlt=70,https://tottus.falabella.com/tottus-cl/product/110614666/lavalozas-limon-500ml-quix/110614667?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110614666/lavalozas-limon-500ml-quix/110614667?exp=tottus
Tottus,40,07-10-2023,TOTTUS,Lavalozas Recarga Limón,$ 2.410,,,https://tottus.falabella.com/tottus-cl/product/110612865/tottus-lavalozas-limon-doypack-tottus-1000-ml-20410244/110612866?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110612865/tottus-lavalozas-limon-doypack-tottus-1000-ml-20410244/110612866?exp=tottus
Tottus,40,07-10-2023,MAGISTRAL,Lavalozas Botella Limón Ultraconcentrado,$ 6.490,,,https://tottus.falabella.com/tottus-cl/product/110618609/lavalozas-limon--magistral-900-ml-/110618612?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110618609/lavalozas-limon--magistral-900-ml-/110618612?exp=tottus
Tottus,40,07-10-2023,TOTTUS,Lavalozas Botella Limón,$ 1.270,,,https://tottus.falabella.com/tottus-cl/product/110609713/tottus-lavalozas-limon-20410242/110609716?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110609713/tottus-lavalozas-limon-20410242/110609716?exp=tottus
Tottus,40,07-10-2023,QUIX,Lavaloza Concentrado Botella Aloe Limón Piel Sensible,"$ 3.290
-23%
$ 4.290",$ 4.290,,https://tottus.falabella.com/tottus-cl/product/110617726/quix-lavalozas--aloe-limon-quix-1200-ml-20428583/110617729?exp=tottus
Tottus,40,07-10-2023,,,,,,https://tottus.falabella.com/tottus-cl/product/110617726/quix-lavalozas--aloe-limon-quix-1200-ml-20428583/110617729?exp=tottus
